,No Elitism
1,82.07510507
2,82.0659026
3,82.07372375
4,82.06195382
5,82.06195382
6,82.06195382
7,82.06082042
8,82.06082042
9,82.0600409
10,82.0600409
11,82.0600409
12,82.0600409
13,82.0600409
14,82.06566519
15,82.06227454
16,82.05844985
17,82.05904718
18,82.05904718
19,82.06078226
20,82.05969944
21,82.0628846
22,82.06730434
23,82.06197483
24,82.06189808
25,82.06189808
26,82.06189808
27,82.07241252
28,82.07241252
29,82.07562871
30,82.07562871
31,82.06262597
32,82.07253485
33,82.06262597
34,82.06262597
35,82.0753466
36,82.06271611
37,82.06293328
38,82.07519337
39,82.07519337
40,82.07519337
41,82.07519337
42,82.07519337
43,82.08094607
44,82.07284401
45,82.07284401
46,82.06716403
47,82.06716403
48,82.08146164
49,82.08146164
50,82.07770315
51,82.07284401
52,82.07284401
53,82.07296292
54,82.06756493
55,82.06756493
56,82.06756493
57,82.06648636
58,82.06637956
59,82.06637956
60,82.07314724
61,82.07291135
62,82.06200371
63,82.06200371
64,82.06200371
65,82.06200371
66,82.06200371
67,82.06200371
68,82.06200371
69,82.06156977
70,82.05760368
71,82.05384874
72,82.05199198
73,82.05277211
74,82.0558987
75,82.05641129
76,82.05463011
77,82.0570921
78,82.05767389
79,82.05767389
80,82.05767389
81,82.05767389
82,82.05767389
83,82.05767389
84,82.05760743
85,82.05271648
86,82.05271648
87,82.0532843
88,82.0532843
89,82.0532843
90,82.0532843
91,82.05333497
92,82.05333497
93,82.05333497
94,82.05333497
95,82.05333497
96,82.04687884
97,82.05819411
98,82.05819411
99,82.05819411
100,82.05819411
101,82.0658346
102,82.07122074
103,82.06527313
104,82.06527313
105,82.06527313
106,82.06527313
107,82.06527313
108,82.07122074
109,82.07122074
110,82.07122074
111,82.07122074
112,82.07122074
113,82.07122074
114,82.07122074
115,82.07122074
116,82.0713296
117,82.0713296
118,82.0713296
119,82.0713296
120,82.0713296
121,82.0713296
122,82.0713296
123,82.06085654
124,82.06098333
125,82.06098333
126,82.06098333
127,82.06098333
128,82.06098333
129,82.06098333
130,82.06098333
131,82.06098333
132,82.06098333
133,82.06098333
134,82.06098333
135,82.06098333
136,82.06098333
137,82.06098333
138,82.06098333
139,82.0620712
140,82.0620712
141,82.0620712
142,82.0620712
143,82.0620712
144,82.0620712
145,82.0620712
146,82.0620712
147,82.0620712
148,82.0620712
149,82.0620712
150,82.0620712
151,82.06098333
152,82.06098333
153,82.06098333
154,82.06098333
155,82.06091133
156,82.06091133
157,82.06091133
158,82.06098333
159,82.06098333
160,82.06098333
161,82.06098333
162,82.06098333
163,82.06098333
164,82.06098333
165,82.06098333
166,82.06098333
167,82.06098333
168,82.06098333
169,82.06098333
170,82.06098333
171,82.06098333
172,82.06098333
173,82.06098333
174,82.06098333
175,82.06098333
176,82.06098333
177,82.06098333
178,82.06098333
179,82.06098333
180,82.06098333
181,82.06098333
182,82.06098333
183,82.0605429
184,82.0605429
185,82.04700748
186,82.04700748
187,82.04700748
188,82.04700748
189,82.04700748
190,82.04700748
191,82.04700748
192,82.04700748
193,82.04700748
194,82.04700748
195,82.04700748
196,82.04700748
197,82.04700748
198,82.04700748
199,82.04700748
200,82.04700748
201,82.04700748
202,82.04700748
203,82.04700748
204,82.04700748
205,82.04700748
206,82.04700748
207,82.04700748
208,82.04700748
209,82.04700748
210,82.04700748
211,82.04700748
212,82.04700748
213,82.04700748
214,82.04700748
215,82.04700748
216,82.04700748
217,82.04700748
218,82.04700748
219,82.04700748
220,82.04700748
221,82.04700748
222,82.04700748
223,82.04700748
224,82.04700748
225,82.04700748
226,82.04700748
227,82.04700748
228,82.04700748
229,82.04700748
230,82.04700748
231,82.04700748
232,82.04700748
233,82.04700748
234,82.04700748
235,82.04700748
236,82.04700748
237,82.04700748
238,82.04700748
239,82.04700748
240,82.04700748
241,82.04700748
242,82.04700748
243,82.04700748
244,82.04700748
245,82.04700748
246,82.04700748
247,82.04700748
248,82.04700748
249,82.04700748
250,82.04700748
251,82.04700748
252,82.04700748
253,82.04700748
254,82.04700748
255,82.04700748
256,82.04700748
257,82.04700748
258,82.04700748
259,82.04700748
260,82.04700748
261,82.04691369
262,82.04691369
263,82.04691369
264,82.04691369
265,82.04691369
266,82.04691369
267,82.04691369
268,82.04691369
269,82.04691369
270,82.04691369
271,82.04700748
272,82.04700748
273,82.04700748
274,82.04700748
275,82.04700748
276,82.04700748
277,82.04700748
278,82.04700748
279,82.04700748
280,82.04700748
281,82.04700748
282,82.04700748
283,82.04700748
284,82.04700748
285,82.04700748
286,82.04700748
287,82.04700748
288,82.04700748
289,82.04700748
290,82.04700748
291,82.04700748
292,82.04700748
293,82.04700748
294,82.04700748
295,82.04700748
296,82.04700748
297,82.04700748
298,82.04700748
299,82.04700748
300,82.04700748
301,82.04700748
302,82.04700748
303,82.04700748
304,82.04700748
305,82.04700748
306,82.04700748
307,82.04700748
308,82.04700748
309,82.04700748
310,82.04700748
311,82.04700748
312,82.04700748
313,82.04700748
314,82.04700748
315,82.04700748
316,82.04700748
317,82.04700748
318,82.04700748
319,82.04700748
320,82.04700748
321,82.04700748
322,82.04700748
323,82.04700748
324,82.04700748
325,82.04700748
326,82.04700748
327,82.04700748
328,82.04700748
329,82.04700748
330,82.04700748
331,82.04700748
332,82.04700748
333,82.04700748
334,82.04700748
335,82.04700748
336,82.04700748
337,82.04700748
338,82.04700748
339,82.04700748
340,82.04700748
341,82.04700748
342,82.04700748
343,82.04700748
344,82.04700748
345,82.04700748
346,82.04700748
347,82.04700748
348,82.04700748
349,82.04700748
350,82.04700748
351,82.04700748
352,82.04700748
353,82.04700748
354,82.04700748
355,82.04700748
356,82.04700748
357,82.04700748
358,82.04700748
359,82.04700748
360,82.04700748
361,82.04700748
362,82.04700748
363,82.04700748
364,82.04700748
365,82.04700748
366,82.04700748
367,82.04700748
368,82.04700748
369,82.04700748
370,82.04700748
371,82.04700748
372,82.04700748
373,82.04700748
374,82.04700748
375,82.04700748
376,82.04700748
377,82.04700748
378,82.04700748
379,82.04700748
380,82.04700748
381,82.04700748
382,82.04700748
383,82.04700748
384,82.04700748
385,82.04700748
386,82.04700748
387,82.04700748
388,82.04700748
389,82.04700748
390,82.04700748
391,82.04700748
392,82.04700748
393,82.04700748
394,82.04700748
395,82.04700748
396,82.04700748
397,82.04700748
398,82.04700748
399,82.04700748
400,82.04700748
401,82.04700748
402,82.04700748
403,82.04700748
404,82.04700748
405,82.04700748
406,82.04700748
407,82.04700748
408,82.04700748
409,82.04700748
410,82.04700748
411,82.04700748
412,82.04700748
